d,dK,hK,fu,rK,mb
3409,3409,1,10184505496055263036236784266291467254944*u + 594639079481835048963894973157738726206975,96.8819204397176,1/2*sqrt(3409)
3410,13640,4,-6966*u - 406781,13.6091774166262,sqrt(3410)
3413,3413,1,100217*u - 5854766,16.2759137689341,1/2*sqrt(3413)
3414,13656,2,-41550866046*u + 2427794027045,29.2111513337335,sqrt(3414)
3415,13660,2,-1343521516780691715*u - 78512712190892616124,46.5029394048680,sqrt(3415)
3417,3417,2,5366878348*u - 313721469463,27.1649185698351,1/2*sqrt(3417)
3418,13672,2,-1820793141148151297*u + 106450238288266194981,46.8073564842892,sqrt(3418)
3419,13676,6,36*u + 2105,8.34521787025607,sqrt(3419)
3421,3421,1,-1764265708860*u + 103190693254199,32.9607469638240,1/2*sqrt(3421)
3422,13688,6,-2*u + 117,5.45530285201861,sqrt(3422)
3423,13692,4,156*u + 9127,9.81213951007570,sqrt(3423)
3426,13704,2,146936393859732*u - 8600487251171345,37.3837424342381,sqrt(3426)
3427,13708,2,-30362281359567*u - 1777425688828702,35.8070896507258,sqrt(3427)
3431,13724,2,2595140740627*u - 152009690466840,33.3481125683739,sqrt(3431)
3433,3433,1,427023993381948676807593764837*u - 25020107960231383801343748725376,72.9903797903681,1/2*sqrt(3433)
3434,13736,8,5*u - 293,6.37332270165412,sqrt(3434)
3435,13740,4,-480624*u - 28168831,17.8468738215039,sqrt(3435)
3437,3437,1,-1072*u + 62847,11.7416056606789,1/2*sqrt(3437)
3439,13756,2,-2840024747575865940879*u + 166547536185241475548820,54.1627149047213,sqrt(3439)
3441,3441,2,-4566678685766508*u + 267881542976921815,40.8224684544516,1/2*sqrt(3441)
3442,13768,6,528*u - 30977,11.0341474529125,sqrt(3442)
3443,13772,4,96*u + 5633,9.32954461157585,sqrt(3443)
3445,3445,4,85/2*u - 4989/2,8.51499080803762,1/2*sqrt(3445)
3446,13784,1,7677497791956132253879913556738*u + 450689392711391613799535862435685,75.8814783646587,sqrt(3446)
3449,3449,1,-10982282674448789285*u + 644969555425236161468,48.6088819692434,1/2*sqrt(3449)
3451,13804,4,-632117925*u - 37133901874,25.0309433670042,sqrt(3451)
3453,3453,1,-400543/2*u + 23536801/2,16.9740757542150,1/2*sqrt(3453)
3454,13816,2,-11217493803062294010*u - 659260423189420118549,48.6307974902391,sqrt(3454)
3455,13820,2,5156715084812*u + 303107835035289,34.0382569298892,sqrt(3455)
3457,3457,1,27852977315581083776164270121*u - 1637650851020522849287926034044,70.2639627774262,1/2*sqrt(3457)
3458,13832,4,210*u + 12349,10.1144775460384,sqrt(3458)
3459,13836,4,2215070369*u + 130275517970,26.2860645942676,sqrt(3459)
3461,3461,1,14717/2*u - 865805/2,13.6714149889805,1/2*sqrt(3461)
3462,13848,4,18848*u + 1108993,14.6121101348795,sqrt(3462)
3463,13852,1,189610305883458015180867261*u + 11158046953686281707278348968,65.2751056288874,sqrt(3463)
3466,13864,2,144500853868305131293944445*u - 8507161794641483352708114843,65.0038530642131,sqrt(3466)
3467,13868,1,13977980833586115213*u - 823040793857921378482,48.8526846211650,sqrt(3467)
3469,3469,1,122070891855867121/2*u - 7189757913373073325/2,43.4191891751525,1/2*sqrt(3469)
3470,13880,2,2772126*u - 163296811,19.6042272098348,sqrt(3470)
3471,13884,4,3337*u - 196600,12.8820736672487,sqrt(3471)
3473,3473,1,-59090725143240*u + 3482344328221151,36.4796292999864,1/2*sqrt(3473)
3477,3477,4,1/2*u - 59/2,4.07725004626540,1/2*sqrt(3477)
3478,13912,2,95659956*u - 5641504847,23.1465638642710,sqrt(3478)
3482,13928,6,u - 59,4.77075643517304,sqrt(3482)
3485,3485,4,-1/2*u + 59/2,4.07782459396726,1/2*sqrt(3485)
3486,13944,4,2486940*u + 146834801,19.4979658906421,sqrt(3486)
3487,13948,2,6310540342359733452*u - 372642616982492771993,48.0602986833810,sqrt(3487)
3489,3489,1,4594685719377125134873396*u - 271397782791256394735969495,61.5587749902607,1/2*sqrt(3489)
3490,13960,4,451655377*u - 26682093297,24.7004056948838,sqrt(3490)
3491,13964,1,72050302140434817*u + 4257069405177822490,43.5882598449427,sqrt(3491)
3493,3493,1,-3954951504*u + 233743991167,26.8706394791073,1/2*sqrt(3493)
3494,13976,1,15200050229496559619920117614*u + 898475984801702499687719773445,69.6636446691651,sqrt(3494)
3495,13980,4,-1139*u + 67336,11.8105974713962,sqrt(3495)
3497,3497,2,-8773188*u + 518806313,20.7601883593582,1/2*sqrt(3497)
3498,13992,4,-966*u + 57133,11.6462843426383,sqrt(3498)
3499,13996,1,-2758982389417224651220445748477066165501*u + 163200280036754868004283955634826864835650,95.5889439657678,sqrt(3499)
3502,14008,4,199428012*u + 11801690767,23.8846558240526,sqrt(3502)
3503,14012,4,-231*u - 13672,10.2162524040179,sqrt(3503)
3505,3505,2,-93002896960908*u + 5506054271902889,36.9377718390082,1/2*sqrt(3505)
3506,14024,2,-194197152*u - 11498701825,23.8586471617210,sqrt(3506)
3507,14028,4,-14100*u - 835001,14.3283353819967,sqrt(3507)
3511,14044,1,-2610273397384535371401477704316664303355607551251947*u + 154668335580127528677080546324630690758162729104455480,123.166269977145,sqrt(3511)
3513,3513,1,103760541152935102436*u - 6149946007887332302807,50.8638774360095,1/2*sqrt(3513)
3514,14056,6,7854654*u + 465616045,20.6520190952583,sqrt(3514)
3515,14060,4,581*u - 34446,11.1402953397449,sqrt(3515)
3517,3517,1,-824765/2*u + 48912111/2,17.7055355924919,1/2*sqrt(3517)
3518,14072,1,-209817166579691696*u - 12444829056736893183,44.6609840542790,sqrt(3518)
3521,3521,1,-1564600436227404069821688*u + 92840283835608470898242015,60.4860700510742,1/2*sqrt(3521)
3522,14088,2,-2324432755932*u + 137946810245777,33.2510364743457,sqrt(3522)
3523,14092,2,-17069698745170920735*u - 1013169664729893318974,49.0605178320708,sqrt(3523)
3526,14104,8,-1218*u - 72325,11.8820723103565,sqrt(3526)
3527,14108,1,73035713459107*u - 4337485199810568,36.6992183085904,sqrt(3527)
3529,3529,1,-62287626015190777003787994644838401930814013*u - 3700220526321720181261790506144849534392912180,105.617868784875,1/2*sqrt(3529)
3530,14120,4,-29*u + 1723,8.14496950129899,sqrt(3530)
3531,14124,8,45*u + 2674,8.58447790325815,sqrt(3531)
3533,3533,1,41/2*u - 2437/2,7.79852322200456,1/2*sqrt(3533)
3534,14136,4,-544570*u + 32373301,17.9859917784024,sqrt(3534)
3535,14140,4,42788981289*u - 2544055937144,29.2579279295957,sqrt(3535)
3538,14152,4,17477*u + 1039551,14.5474466276859,sqrt(3538)
3539,14156,1,385577670697700098385352921*u + 22937820863321129746978434970,65.9957318057078,sqrt(3539)
3541,3541,1,72306555425/2*u - 4302695737239/2,29.0902628578355,1/2*sqrt(3541)
3542,14168,4,-68*u - 4047,8.99887831017163,sqrt(3542)
3543,14172,2,7096111483901*u + 422382587228788,34.3700798046141,sqrt(3543)
3545,3545,4,-2669*u + 158912,12.6692530494377,1/2*sqrt(3545)
3547,14188,1,-194170656064482167068443*u + 11564162672696455361227802,58.4031003036372,sqrt(3547)
3551,14204,2,993369687682185*u + 59195165576058676,39.3127634514594,sqrt(3551)
3553,3553,2,-21952515342262236*u + 1308524604187890583,42.4085791006174,1/2*sqrt(3553)
3554,14216,8,-13*u + 775,7.34601062614612,sqrt(3554)
3557,3557,1,-183665/2*u + 10953889/2,16.2092051109898,1/2*sqrt(3557)
3558,14232,2,32852705496270*u + 1959630148644101,35.9046793312357,sqrt(3558)
3559,14236,1,-22297766266506600324614212155194907300819*u + 1330225756822212772700719603819176232246280,97.6870697561106,sqrt(3559)
3561,3561,1,-318426048723555364349626572*u + 19001792647768358685056080535,65.8074780159975,1/2*sqrt(3561)
3562,14248,4,19862705*u + 1185455757,21.5865403232152,sqrt(3562)
3563,14252,2,25795*u - 1539726,14.9402622170417,sqrt(3563)
3565,3565,2,-1488147/2*u + 88853717/2,18.3025019462425,1/2*sqrt(3565)
3566,14264,1,29112093041890179510308*u + 1738457588186523858378255,56.5081876889491,sqrt(3566)
3567,14268,4,-23495*u - 1403224,14.8474301847764,sqrt(3567)
3569,3569,3,-711436*u + 42501975,18.2582082839631,1/2*sqrt(3569)
3570,14280,8,4*u - 239,6.16960635578864,sqrt(3570)
3571,14284,1,-317799749249667142896491448615083010692333748314716137*u + 18991028052879952877717003280980106896077255885649556410,127.976708862137,sqrt(3571)
3574,14296,3,-109615702239335226*u - 6553149027918438725,44.0196245561893,sqrt(3574)
3578,14312,2,44444777033*u + 2658525926021,29.3019401025270,sqrt(3578)
3579,14316,6,-562891*u - 33674810,18.0254078186369,sqrt(3579)
