d,dK,hK,fu,rK,mb
4001,4001,3,22286801*u - 1409717240,21.7598021627787,1/2*sqrt(4001)
4002,16008,4,-88*u + 5567,9.31775876067672,sqrt(4002)
4003,16012,1,-168724745136660516665415874096719*u - 10675090753927503722008879537371122,79.0463683099809,sqrt(4003)
4006,16024,1,-57315709347413016502127480790113183410147231351775502*u - 3627681448972124688885752841837120064353235414365037445,126.321335927156,sqrt(4006)
4007,16028,1,123679605193772915*u - 7829026470560460024,44.1975170234637,sqrt(4007)
4009,4009,11,60*u - 3799,8.93564031642543,1/2*sqrt(4009)
4010,16040,4,-114*u - 7219,9.57761889390193,sqrt(4010)
4011,16044,12,3*u + 190,5.94016432744074,sqrt(4011)
4013,4013,1,-9206293*u + 583202494,20.8771921956156,1/2*sqrt(4013)
4015,16060,4,-11713467111*u - 742212453896,28.0260485456957,sqrt(4015)
4017,4017,4,208*u - 13183,10.1798305788794,1/2*sqrt(4017)
4019,16076,1,26951473159328913297971289*u - 1708604365567350951677221730,63.3986215681865,sqrt(4019)
4021,4021,1,-4128436006841*u + 261789723082170,33.8917098943511,1/2*sqrt(4021)
4022,16088,1,14186503428702*u + 899697265462117,35.1262266315184,sqrt(4022)
4026,16104,4,1326216632*u - 84149464255,25.8490075715751,sqrt(4026)
4027,16108,1,7720403744882820167494955973824537167233515551083*u - 489926383300155323805655713528988632537844064331002,117.411486785929,sqrt(4027)
4029,4029,2,-641084*u + 40692425,18.2146996957146,1/2*sqrt(4029)
4030,16120,4,-150904614*u + 9579769109,23.6760665078417,sqrt(4030)
4031,16124,2,1237069102220*u - 78541711170201,32.6877981326457,sqrt(4031)
4033,4033,2,383019462789474113*u - 24323997707922974376,45.3311422774795,1/2*sqrt(4033)
4034,16136,2,293745673232494*u - 18656897487784515,38.1581394916742,sqrt(4034)
4035,16140,4,-11201*u - 711506,14.1682863099242,sqrt(4035)
4037,4037,1,25929/2*u - 1647461/2,14.3147458728476,1/2*sqrt(4037)
4038,16152,4,5126*u - 325733,13.3869804869227,sqrt(4038)
4039,16156,2,350702975339090911793571*u + 22288270864881375590235560,59.0592499823276,sqrt(4039)
4042,16168,2,-963490248543642*u + 61255554861860333,39.3469781124054,sqrt(4042)
4043,16172,2,-3486480*u + 221686399,19.9099215045952,sqrt(4043)
4045,4045,4,5*u - 318,6.45520103554329,1/2*sqrt(4045)
4047,16188,4,-28000*u + 1781249,15.0859725421553,sqrt(4047)
4049,4049,1,-604700495089193315993*u + 38478152590707323336680,52.6975247484829,1/2*sqrt(4049)
4051,16204,1,84581805341317262274629872520787545399261115657*u + 5383417627373949351123839808517440621285033901490,112.900555063488,sqrt(4051)
4053,4053,4,-3/2*u + 191/2,5.25224601539018,1/2*sqrt(4053)
4054,16216,1,219431646813187437183447298305437210029482532725398231934*u - 13971438861629094598893146979059394329145661881201019971365,134.577512645723,sqrt(4054)
4055,16220,2,20397028612*u + 1298859976089,28.5856552347479,sqrt(4055)
4057,4057,1,217183299242916279634890326216262815029*u + 13833399844287905529750976821544275850044,93.1210517539055,1/2*sqrt(4057)
4058,16232,2,-8425*u - 536693,13.8863286959725,sqrt(4058)
4061,4061,1,52362625/2*u - 3336859377/2,21.9282958952823,1/2*sqrt(4061)
4062,16248,2,30623954398*u - 1951781642507,28.9929109147524,sqrt(4062)
4063,16252,8,-120*u - 7649,9.63547737560883,sqrt(4063)
4065,4065,6,136*u - 8671,9.76088658061203,1/2*sqrt(4065)
4066,16264,2,-5394436514982636408492*u + 343977292342747234626065,54.8880097779980,sqrt(4066)
4069,4069,2,-5698236*u + 363483145,20.4043906657845,1/2*sqrt(4069)
4070,16280,4,-290*u + 18501,10.5187272434892,sqrt(4070)
4071,16284,4,1518382712*u + 96879480545,25.9898807548974,sqrt(4071)
4073,4073,1,34227830589326245*u - 2184422186219192768,42.9210302023621,1/2*sqrt(4073)
4074,16296,4,-2416290*u + 154226701,19.5470813428994,sqrt(4074)
4078,16312,1,1099626547115668509621755638589441916*u + 70221293770832713806532587704441992463,87.8378621234509,sqrt(4078)
4079,16316,1,-2970496451095500078889982759*u + 189716843606453532684519911280,68.1084773551547,sqrt(4079)
4081,4081,4,-9463134852*u + 604530652265,27.8208653930829,1/2*sqrt(4081)
4082,16328,4,22865*u + 1460857,14.8876809883369,sqrt(4082)
4083,16332,2,-638817442935*u - 40819384890026,32.0333253849185,sqrt(4083)
4085,4085,2,407/2*u - 26013/2,10.1663516905675,1/2*sqrt(4085)
4087,16348,2,71972595*u - 4601182724,22.9427264018663,sqrt(4087)
4089,4089,2,-20107185282015420*u + 1285759776147201449,42.3910286635556,1/2*sqrt(4089)
4090,16360,4,19565434194*u + 1251270322579,28.5483275898253,sqrt(4090)
4091,16364,1,591484868211020767467*u + 37831919632484839132490,52.6805873144479,sqrt(4091)
4093,4093,1,281485037*u - 18008443854,24.3072537684081,1/2*sqrt(4093)
4094,16376,6,-64*u + 4095,9.01066916193868,sqrt(4094)
4097,4097,10,-u + 64,4.85209129348869,1/2*sqrt(4097)
4098,16392,6,-64*u + 4097,9.01115744321293,sqrt(4098)
4099,16396,1,98255894580947570793022586715791022877883393268276434001*u + 6290679704195680536253612607008970662569749959960678667690,133.779566607175,sqrt(4099)
4101,4101,1,-4856228261/2*u + 310988247265/2,26.4630209582669,1/2*sqrt(4101)
4102,16408,2,158340679489542*u - 10141222990572827,37.5485321768709,sqrt(4102)
4103,16412,2,-563221*u - 36076932,18.0943113968437,sqrt(4103)
4105,4105,2,59793645893686188*u - 3830995270998176489,43.4828034857665,1/2*sqrt(4105)
4106,16424,6,4265*u - 273293,13.2114469392718,sqrt(4106)
4109,4109,1,7043187/2*u - 451478725/2,19.9280388090023,1/2*sqrt(4109)
4110,16440,4,-3814280*u - 244530751,20.0079988104918,sqrt(4110)
4111,16444,1,352495322229152178879614940884523956622557436044222529897*u + 22600970918684145317406830884887526438186669303416178086560,135.058490347580,sqrt(4111)
4115,16460,2,1289239*u + 82702446,18.9239069169000,sqrt(4115)
4117,4117,1,-24052694959995/2*u + 1543313577705577/2,34.9727081736361,1/2*sqrt(4117)
4118,16472,2,-29504688036*u - 1893364361423,28.9625236284947,sqrt(4118)
4119,16476,2,-5275690702755*u - 338590853596324,34.1489607534078,sqrt(4119)
4121,4121,2,-767122541*u + 49245443320,25.3132298594228,1/2*sqrt(4121)
4123,16492,4,-537147564*u + 34490562553,24.9570987549339,sqrt(4123)
4126,16504,1,-334145868438155779219711421198468455829568*u + 21463508140861728553057577651533912660709375,100.468075283631,sqrt(4126)
4127,16508,1,-43998236250093167*u + 2826522857010387648,43.1787261382366,sqrt(4127)
4129,4129,1,24020472863889191534318386913393290031716825*u + 1543490618196745649235160051135883919346588932,104.743522851968,1/2*sqrt(4129)
4130,16520,4,63246*u + 4064509,15.9109506870207,sqrt(4130)
