d,dK,hK,fu,rK,mb
4133,4133,1,2753*u - 176986,12.7769730929504,1/2*sqrt(4133)
4134,16536,4,1088304094*u - 69973806395,25.6645339951704,sqrt(4134)
4135,16540,2,29146429030397403*u + 1874230971572396404,42.7678772812465,sqrt(4135)
4137,4137,2,-69916153672*u + 4496973089503,29.8275728201593,1/2*sqrt(4137)
4138,16552,2,-9385713524810297*u + 603757498350340221,41.6350961999882,sqrt(4138)
4139,16556,7,579*u + 37250,11.2185544041875,sqrt(4139)
4141,4141,2,128822245/2*u - 8289789039/2,22.8382903581220,1/2*sqrt(4141)
4142,16568,2,-101378*u + 6524523,16.3842255856125,sqrt(4142)
4143,16572,2,32846594404*u + 2114208499417,29.0728488069903,sqrt(4143)
4145,4145,2,-3875243436*u + 249494661161,26.9358505343167,1/2*sqrt(4145)
4146,16584,2,-198457747912327754312*u - 12778583277142710981185,51.5952047215558,sqrt(4146)
4147,16588,4,1469433*u - 94627378,19.0586045807455,sqrt(4147)
4151,16604,6,-3157*u + 203400,12.9160769431505,sqrt(4151)
4153,4153,1,-15190418349378359832517839447959173*u + 978927886204995237379992467521844556,83.5649132285118,1/2*sqrt(4153)
4154,16616,2,-638960*u - 41181951,18.2266578163692,sqrt(4154)
4155,16620,4,5883*u + 379214,13.5390031490709,sqrt(4155)
4157,4157,1,-377/2*u + 24307/2,10.0985196553818,1/2*sqrt(4157)
4159,16636,3,83962494925794507231*u - 5414767271524082813120,50.7365640344830,sqrt(4159)
4161,4161,8,172*u - 11095,10.0073970138958,1/2*sqrt(4161)
4162,16648,2,-1171878019769582982*u + 75602028173705811683,46.4651619649729,sqrt(4162)
4163,16652,2,375203295*u + 24208609726,24.6031213611982,sqrt(4163)
4166,16664,1,920587423974469760615286642*u + 59418908613165155383083738565,66.9475571939335,sqrt(4166)
4169,4169,1,-272653508985316114448065655700*u + 17604635555034997944764892094999,72.6388622215548,1/2*sqrt(4169)
4170,16680,4,415888*u - 26856191,17.7991541101814,sqrt(4170)
4171,16684,12,12*u + 775,7.34600979367994,sqrt(4171)
4173,4173,4,-5/2*u + 323/2,5.77764273802221,1/2*sqrt(4173)
4174,16696,1,22043547972406602245188180037336225229518423057650028204781695724*u - 1424156508991205142208681039557490896776199898778313581829510488975,153.017343033117,sqrt(4174)
4177,4177,1,72814537696742108814167666009*u - 4705982784845200596839958307656,71.3195346025509,1/2*sqrt(4177)
4178,16712,2,-4072224*u - 263218177,20.0816409971409,sqrt(4178)
4179,16716,4,41416*u + 2677345,15.4934833703657,sqrt(4179)
4181,4181,2,15353/2*u - 992735/2,13.8082190393362,1/2*sqrt(4181)
4182,16728,4,582*u - 37637,11.2288900684622,sqrt(4182)
4183,16732,4,4909975899*u + 317558171528,27.1770740364679,sqrt(4183)
4186,16744,4,-291435512322*u + 18855674947565,31.2609822232998,sqrt(4186)
4187,16748,2,-2217594427*u + 143493953718,26.3827059174490,sqrt(4187)
4189,4189,1,-25874579690578725/2*u + 1674667082996931877/2,41.9621460629954,1/2*sqrt(4189)
4190,16760,2,393817228654*u + 25491871648821,31.5625279389687,sqrt(4190)
4191,16764,4,-453705*u + 29371924,17.8886969906119,sqrt(4191)
4193,4193,3,-296*u + 19167,10.5540925091499,1/2*sqrt(4193)
4195,16780,2,706699414022674604276153640*u + 45772086899846122191836963999,66.6866191403901,sqrt(4195)
4197,4197,1,-2540601/2*u + 164590949/2,18.9189738568460,1/2*sqrt(4197)
4198,16792,1,1759147488675595201885659246810*u + 113978639776334919899595657028901,74.5067110308368,sqrt(4198)
4199,16796,8,5*u - 324,6.47388831484704,sqrt(4199)
4201,4201,1,42731878878430983047722050842457079024438077101*u - 2769671929650196669406297005338979393158336660780,112.235960520510,1/2*sqrt(4201)
4202,16808,2,132792578*u - 8607991437,23.5691040261530,sqrt(4202)
4206,16824,2,28155914188610*u + 1826014690238699,35.8340594026487,sqrt(4206)
4207,16828,2,-5911793862730983*u - 383447171307218768,41.1811254327009,sqrt(4207)
4209,4209,2,18846057234622156*u - 1222672005355632215,42.3407174865998,1/2*sqrt(4209)
4210,16840,4,2389165*u - 155019807,19.5522106343762,sqrt(4210)
4211,16844,1,2694380047628390959995251257521897*u + 174844298319090500142303314489781850,81.8423511033568,sqrt(4211)
4213,4213,1,518615625/2*u - 33662109373/2,24.2396386907985,1/2*sqrt(4213)
4215,16860,12,-13*u + 844,7.43129932419774,sqrt(4215)
4217,4217,1,-382539382432741*u + 24841507818878476,38.4444395319368,1/2*sqrt(4217)
4218,16872,4,-3563290*u + 231421901,19.9529001944404,sqrt(4218)
4219,16876,1,1499045280812594827427418555254641461*u + 97368731966766164199033274737192581210,88.1647156604186,sqrt(4219)
4222,16888,1,8616670137323363145176951081959937441003890680*u + 559884677381394885476016891268814708946565953599,110.637207194567,sqrt(4222)
4223,16892,4,-65*u - 4224,9.04168499193430,sqrt(4223)
4226,16904,8,u + 65,4.86759361680199,sqrt(4226)
4227,16908,6,-65*u - 4226,9.04215836473746,sqrt(4227)
4229,4229,7,1/2*u - 65/2,4.17462387229967,1/2*sqrt(4229)
4231,16924,1,22261204914463309108155324946001318973*u + 1448005395154038127926578071623745469720,90.8641528272194,sqrt(4231)
4233,4233,2,599687396*u - 39016567127,25.0803993715630,1/2*sqrt(4233)
4234,16936,4,218613092017*u - 14224977682275,30.9791677075910,sqrt(4234)
4237,4237,1,-786184772751/2*u + 51174529674329/2,31.5662630568978,1/2*sqrt(4237)
4238,16952,6,-10*u - 651,7.17165623286849,sqrt(4238)
4241,4241,1,-470162745703974776753345*u + 30618389973781211518873532,59.3767902203948,1/2*sqrt(4241)
4242,16968,4,-4922*u + 320573,13.3710124790757,sqrt(4242)
4243,16972,1,-1097593460464898075426812651808199*u + 71495387886939108299769509927142362,80.9480881919051,sqrt(4243)
4245,4245,2,-13/2*u + 847/2,6.74169930074413,1/2*sqrt(4245)
4246,16984,2,15901438855896510581442030162*u + 1036159035641953894068021395045,69.8062206117442,sqrt(4246)
4247,16988,2,328517*u + 21409128,17.5724751116649,sqrt(4247)
4249,4249,1,-21580660160397807236549009676230375609895828576*u + 1406721390390084009875311660957976221637955862015,111.558493386018,1/2*sqrt(4249)
4251,17004,16,5*u - 326,6.48004220955281,sqrt(4251)
4253,4253,1,-865/2*u + 56411/2,10.9404194542444,1/2*sqrt(4253)
4254,17016,2,28823049970624234*u - 1879917009784506005,42.7709064865886,sqrt(4254)
4255,17020,4,374748495*u + 24444979624,24.6128378799919,sqrt(4255)
4258,17032,4,-2041232466*u + 133197261443,26.3082442156641,sqrt(4258)
4259,17036,1,3068242939661179281*u - 200236646655773016130,47.4391787548109,sqrt(4259)
4261,4261,1,-15256407996466685/2*u + 995882409670827939/2,41.4424055829459,1/2*sqrt(4261)
4262,17048,1,-13968338442630*u + 911908936708901,35.1397084314776,sqrt(4262)
4265,4265,2,86251464389*u - 5632821579008,30.0527787816598,1/2*sqrt(4265)
4267,17068,4,6505923792*u - 424981762433,27.4684592735877,sqrt(4267)
4269,4269,1,793750797/2*u - 51861760085/2,24.6718475556441,1/2*sqrt(4269)
4270,17080,8,-84*u - 5489,9.30364854081221,sqrt(4270)
4271,17084,5,18887*u + 1234320,14.7191779496767,sqrt(4271)
4273,4273,1,-1572856284250054995873985227611945*u + 102814765256925009974440561376708232,81.3113842229745,1/2*sqrt(4273)
4274,17096,4,-22265*u + 1455593,14.8840711162552,sqrt(4274)
4277,4277,2,-5/2*u + 327/2,5.78995081876614,1/2*sqrt(4277)
4278,17112,4,5824*u + 380927,13.5435102152594,sqrt(4278)
4279,17116,6,68677740*u - 4492490201,22.9188201759887,sqrt(4279)
4281,4281,3,-49564769748*u + 3242990727575,29.5006642645974,1/2*sqrt(4281)
4282,17128,2,-224148427478728801*u + 14667598989315275691,44.8253197651359,sqrt(4282)
4283,17132,3,5301*u + 346922,13.4500024303575,sqrt(4283)
4285,4285,2,661597/2*u - 43308081/2,17.5838498037354,1/2*sqrt(4285)
4286,17144,3,8859506672*u - 580010189055,27.7794586882287,sqrt(4286)
4287,17148,2,-28356692*u - 1856659687,22.0351920235244,sqrt(4287)
4289,4289,1,34059350954149342753*u - 2230562470014106565360,49.8496879158085,1/2*sqrt(4289)
4290,17160,8,-2*u - 131,5.56832993552713,sqrt(4290)
4291,17164,2,69187362629241754841897352108*u + 4532168345760066973943482724665,71.2819004588766,sqrt(4291)
4294,17176,6,5780214*u - 378769445,20.4455854339639,sqrt(4294)
4295,17180,2,13892805164*u - 910482345639,28.2303875267430,sqrt(4295)
4297,4297,1,-976130941913530064919424381*u + 63986853750790070065951916604,67.0216223435154,1/2*sqrt(4297)
4298,17192,2,-162006*u + 10620973,16.8714883697269,sqrt(4298)
4299,17196,2,-88023947094490260086451*u - 5771445002054552513999330,57.7081118952154,sqrt(4299)
4301,4301,2,-189/2*u + 12395/2,9.42504843796040,1/2*sqrt(4301)
4303,17212,2,1037425913523681*u - 68052293272123172,39.4522000038111,sqrt(4303)
4305,4305,8,-80*u + 5249,9.25894003273849,1/2*sqrt(4305)
4306,17224,4,61557012315805*u - 4039378465204593,36.6280144103619,sqrt(4306)
4307,17228,2,-1231767*u - 80838082,18.9011059048999,sqrt(4307)
4309,4309,1,-60684596060207505/2*u + 3983517344941564277/2,42.8286968579181,1/2*sqrt(4309)
4310,17240,2,-6817779252*u - 447591232079,27.5202934050101,sqrt(4310)
4313,4313,1,-11999458032208557223524*u + 788045621202748469015767,55.7169901165443,1/2*sqrt(4313)
4314,17256,2,-74230683596273336860*u + 4875549054850291162799,50.6316668581788,sqrt(4314)
4315,17260,2,-661392005585214267*u + 43445954316823546006,45.9111965905937,sqrt(4315)
4317,4317,1,-190785192*u + 12535327583,23.9449638822414,1/2*sqrt(4317)
4318,17272,4,20904*u + 1373633,14.8261167932979,sqrt(4318)
4319,17276,4,-520561*u - 34210800,18.0411991222155,sqrt(4319)
4321,4321,10,-1020*u + 67049,11.8063261548598,1/2*sqrt(4321)
4322,17288,2,-63178*u + 4153443,15.9325953673612,sqrt(4322)
4323,17292,8,-4*u + 263,6.26529759838221,sqrt(4323)
4326,17304,4,1833535920*u + 120595938049,26.2088586200465,sqrt(4326)
4327,17308,1,65813189903447616115842796215628380940240557*u - 4329187429727596204348807032540855344698587368,105.774856229125,sqrt(4327)
4330,17320,4,-129639819437*u - 8530654749387,30.4678344134739,sqrt(4330)
4331,17324,2,-2334477*u - 153632710,19.5432224922951,sqrt(4331)
4333,4333,1,-330057640515/2*u + 21726218115173/2,30.7095408552514,1/2*sqrt(4333)
4334,17336,10,-6*u + 395,6.67203134314989,sqrt(4334)
4337,4337,1,10091133016783998940241*u - 664560680182216924126964,55.5465603244728,1/2*sqrt(4337)
4339,17356,1,-324707654594357645931797703393486772535229862296036471*u - 21388845912565265365283599310924559907543316972291384810,128.095611769345,sqrt(4339)
4341,4341,1,-3058168983809/2*u + 201491334039605/2,32.9367674891428,1/2*sqrt(4341)
4342,17368,2,-38233758116391150*u - 2519369676651116251,43.0636875963757,sqrt(4342)
4343,17372,2,124844684*u - 8227444647,23.5238884915160,sqrt(4343)
4345,4345,12,-12*u + 791,7.36644474876273,1/2*sqrt(4345)
4346,17384,4,4525*u - 298307,13.2990256170993,sqrt(4346)
4349,4349,1,3257685125/2*u - 214834392761/2,26.0931333020387,1/2*sqrt(4349)
4351,17404,2,1000841336182292285864737304940*u - 66017606646248095047416982119449,73.9606214441990,sqrt(4351)
4353,4353,5,44*u - 2903,8.66664711491947,1/2*sqrt(4353)
4354,17416,16,66*u - 4355,9.07222705666508,sqrt(4354)
4355,17420,12,u + 66,4.88274452554211,sqrt(4355)
4357,4357,5,-u + 66,4.88285930974907,1/2*sqrt(4357)
4358,17432,5,-66*u + 4357,9.07268619350802,sqrt(4358)
4359,17436,10,44*u + 2905,8.66733582022168,sqrt(4359)
4362,17448,6,22*u - 1453,7.97453272571465,sqrt(4362)
4363,17452,1,-32188016968778036561449612128195*u - 2126115375029342505341004003181226,77.4327517964040,sqrt(4363)
4366,17464,2,24252063069606642*u + 1602472386855726955,42.6112265328257,sqrt(4366)
4367,17468,6,-12*u + 793,7.36897000464284,sqrt(4367)
4369,4369,2,-328478445735747503816136*u + 21711903468106532919260705,59.0330500694839,1/2*sqrt(4369)
4370,17480,4,-65534*u - 4332189,15.9747306955201,sqrt(4370)
4371,17484,4,265214265*u - 17534253574,24.2805693324137,sqrt(4371)
4373,4373,1,-785/2*u + 51911/2,10.8572859931178,1/2*sqrt(4373)
4377,4377,1,-676982436305117753992863292*u + 44788413053491717783936464727,66.6648941601689,1/2*sqrt(4377)
4378,17512,14,6*u + 397,6.67708187503953,sqrt(4378)
4379,17516,2,-3623121730598720*u + 239756504596375551,40.7115474196122,sqrt(4379)
4381,4381,2,3332271/2*u - 220560095/2,19.2116807554015,1/2*sqrt(4381)
4382,17528,2,892082368*u + 59052888063,25.4948464677260,sqrt(4382)
4385,4385,2,49571353*u - 3282581908,22.6050432973221,1/2*sqrt(4385)
4386,17544,4,72876128*u + 4826358785,22.9905053261232,sqrt(4386)
4387,17548,8,-273*u + 18082,10.4958194270926,sqrt(4387)
4389,4389,4,-4*u + 265,6.27287344654140,1/2*sqrt(4389)
4390,17560,2,-5404859441184919627582287252*u + 358110177866616482648163891919,68.7437853898556,sqrt(4390)
4391,17564,1,-222763844413848059028928333*u + 14761361728850117453397896040,65.5549577643682,sqrt(4391)
4393,4393,1,99757882564862612306762851683594726289416*u - 6611923558458073509488382270733865375841503,99.2905957051701,1/2*sqrt(4393)
4395,17580,4,661379*u - 43845986,18.2893409138138,sqrt(4395)
4397,4397,1,-21005/2*u + 1392839/2,14.1468546681934,1/2*sqrt(4397)
4398,17592,2,-3830813340874*u + 254049651623093,33.8616980232346,sqrt(4398)
4399,17596,2,474698930835526196625*u - 31484386458134880046876,52.4969258883868,sqrt(4399)
4402,17608,4,-115128*u + 7638463,16.5418541434532,sqrt(4402)
4403,17612,4,3751*u - 248898,13.1179456335237,sqrt(4403)
4405,4405,2,23163735/2*u - 1537381123/2,21.1533462362817,1/2*sqrt(4405)
4406,17624,1,-15587684965022624903898*u - 1034674786992559935467845,55.9892765742922,sqrt(4406)
4407,17628,4,-152012*u + 10091353,16.8203366570616,sqrt(4407)
4409,4409,9,5*u - 332,6.49828441757730,1/2*sqrt(4409)
4411,17644,4,345438068447403*u - 22942393559396090,38.3649100217199,sqrt(4411)
4413,4413,1,-1085/2*u + 72077/2,11.1854902708018,1/2*sqrt(4413)
4414,17656,1,623333041253040855586397140112917131415841903435868382975296*u - 41412963797857009903593604103647473778878170580810394415763455,142.571846727231,sqrt(4414)
4415,17660,2,7695993*u + 511363844,20.7457390988428,sqrt(4415)
4417,4417,1,-12450609288008889777143222741738040*u + 827473900280606633688486831636112351,83.3968328156709,1/2*sqrt(4417)
4421,4421,1,-328320865*u + 21830251582,24.4997097126010,1/2*sqrt(4421)
4422,17688,8,-2*u - 133,5.58348217540502,sqrt(4422)
4423,17692,1,-37724715645658986567702541539*u - 2508906314776260617277955827128,70.6905468974018,sqrt(4423)
4426,17704,2,-519858086289147401962596901*u + 34585217284987959645297707115,66.4063710360686,sqrt(4426)
4427,17708,4,-28*u - 1863,8.22309047913138,sqrt(4427)
4429,4429,1,136626578160684*u - 9092598859373815,37.4393843459189,1/2*sqrt(4429)
4430,17720,2,-11632278*u + 774224011,21.1605189901367,sqrt(4430)
4431,17724,4,7207252*u - 479756185,20.6819357654602,sqrt(4431)
4433,4433,2,-3307374140*u + 220207543401,26.8109834982518,1/2*sqrt(4433)
4434,17736,6,-19244*u - 1281425,14.7566304784676,sqrt(4434)
4435,17740,2,-44247448622910294345*u + 2946694047104394730126,50.1281180133769,sqrt(4435)
4438,17752,2,10571038069929815460*u - 704224752474143379151,48.6967764103347,sqrt(4438)
4439,17756,4,-69595*u + 4636824,16.0426873876385,sqrt(4439)
4441,4441,5,-3005869*u + 200313600,19.8085418770438,1/2*sqrt(4441)
4442,17768,2,42832956721*u + 2854745069189,29.3731508428562,sqrt(4442)
4443,17772,2,-17258546869*u + 1150382808482,28.4642630604133,sqrt(4443)
4445,4445,2,-240*u + 16001,10.3735536788524,1/2*sqrt(4445)
4447,17788,1,-2116719505995393857046417129559580130876704730063*u - 141155198359897378542057170327723913285926988147488,116.167091626917,sqrt(4447)
4449,4449,1,776036911603252165945401837994102606676*u - 51762301910478302918469654245016003977815,94.4406279292996,1/2*sqrt(4449)
4451,17804,1,-54770862229934724207*u - 3654082723779812248370,50.3432792303736,sqrt(4451)
4453,4453,2,1340577/2*u - 89457779/2,18.3092773289226,1/2*sqrt(4453)
4454,17816,2,4011572766*u - 267725526085,27.0063753168114,sqrt(4454)
4457,4457,1,170082742829*u - 11354854351444,30.7538136451424,1/2*sqrt(4457)
4458,17832,2,3727215056*u + 248859648767,26.9333020954850,sqrt(4458)
4461,4461,1,-10606765169/2*u + 708433460425/2,27.2863219755411,1/2*sqrt(4461)
4462,17848,2,-2041324309766052*u + 136356796793404943,40.1471985316563,sqrt(4462)
4463,17852,1,16890915718751495705*u - 1128409251969153189024,49.1682430327398,sqrt(4463)
4465,4465,2,5055564715778844*u - 337816148176173079,41.0544253826573,1/2*sqrt(4465)
4466,17864,4,78208*u + 5226495,16.1623986198512,sqrt(4466)
4467,17868,4,-356167*u - 23804642,17.6785383422002,sqrt(4467)
4469,4469,2,2329/2*u - 155695/2,11.9556542443098,1/2*sqrt(4469)
4470,17880,8,1092*u + 73009,11.8914851807155,sqrt(4470)
4471,17884,12,885*u + 59176,11.6814185137563,sqrt(4471)
4474,17896,2,-439986011811496573464841985*u + 29429769412938055904848296843,66.2449514185115,sqrt(4474)
4478,17912,1,-172195035009520*u + 11522923262214399,37.6762619539485,sqrt(4478)
4479,17916,2,-32866019495*u + 2199569250676,29.1124298425351,sqrt(4479)
4481,4481,3,694603585*u - 46496952832,25.2557997974578,1/2*sqrt(4481)
4483,17932,1,523781578010154255*u + 35069904978168463226,45.6970222091107,sqrt(4483)
4485,4485,4,-1/2*u + 67/2,4.20446977815335,1/2*sqrt(4485)
4486,17944,1,-240874653498782655935372826951351834752032412247514186722*u - 16133208167005702950089618527500638518654823862842384211845,134.721377248001,sqrt(4486)
4487,17948,4,67*u + 4488,9.10230961535069,sqrt(4487)
4490,17960,8,u + 67,4.89789548698994,sqrt(4490)
4493,4493,3,1/2*u - 67/2,4.20491531175345,1/2*sqrt(4493)
4494,17976,4,-3101650*u - 207926251,19.8458411928534,sqrt(4494)
4495,17980,4,12933887028*u + 867149366759,28.1816242594473,sqrt(4495)
4497,4497,1,-626040619715230176778852*u + 41982080443063231092168983,59.6924322835392,1/2*sqrt(4497)
4498,17992,4,6154873*u + 412789671,20.5315959305762,sqrt(4498)
4499,17996,2,6320159751*u - 423922094650,27.4659627168232,sqrt(4499)
4501,4501,1,-450379154966232468*u + 30215708926147463095,45.5480408067131,1/2*sqrt(4501)
4502,18008,1,9200810256130213252638*u + 617346257768391889703717,55.4728641956637,sqrt(4502)
4503,18012,4,-1481844*u + 99438247,19.1081945568504,sqrt(4503)
4505,4505,4,-2389*u + 160348,12.6782489128973,1/2*sqrt(4505)
4506,18024,2,5204403750*u + 349354687501,27.2725007201935,sqrt(4506)
4507,18028,1,11625645311400303513583583104395*u - 780478327361831846309355990987026,76.4306069423175,sqrt(4507)
4510,18040,4,-711869839098*u + 47806710740821,32.1913343181992,sqrt(4510)
4511,18044,6,-372*u + 24985,10.8191781039378,sqrt(4511)
4513,4513,1,18039352976854747601706023124433*u - 1211863271384902709808968806227816,76.8706143182581,1/2*sqrt(4513)
4514,18056,4,-2125597*u - 142811015,19.4701799213092,sqrt(4514)
4515,18060,8,160*u + 10751,9.97590123088224,sqrt(4515)
4517,4517,1,2665/2*u - 179111/2,12.0957610043961,1/2*sqrt(4517)
4519,18076,1,12618321268387781268413231790858143635939216630980890973034611*u - 848247818120463021285124851606930862336855497344396380221506360,145.591425591651,sqrt(4519)
4521,4521,2,-1358460548846900*u + 91340689174094999,39.7465199283500,1/2*sqrt(4521)
4522,18088,4,-2136750*u + 143687501,19.4762985480072,sqrt(4522)
4523,18092,1,13834181840015741762019*u - 930393727314945033145202,55.8830419926937,sqrt(4523)
4526,18104,2,-125354445643493468*u - 8433289622368680975,44.2718657783864,sqrt(4526)
4529,4529,1,-12712706736520481090784*u + 855537772996595350355455,55.7991643789153,1/2*sqrt(4529)
4530,18120,4,60073462*u + 4043260861,22.8134645277259,sqrt(4530)
4531,18124,2,29716118959015468960659096252*u - 2000272293075168006487124629625,70.4639832882118,sqrt(4531)
4533,4533,1,-30140361797/2*u + 2029276942201/2,28.3387006594250,1/2*sqrt(4533)
4534,18136,9,606*u - 40805,11.3097070823131,sqrt(4534)
4535,18140,2,223872147*u + 15076089604,24.1295230363799,sqrt(4535)
4537,4537,2,43028632310010261821*u - 2898290622325279833504,50.1115552560615,1/2*sqrt(4537)
